==============================
MAPK@3 SCORE: 0.2390765095939903
bracelet MAPK@3: 0.35661080074487894 common guesses: [('bracelet', 82), ('picture frame', 52), ('circle', 25)]
tooth MAPK@3: 0.3537234042553192 common guesses: [('tooth', 86), ('pants', 55), ('square', 38)]
palm tree MAPK@3: 0.3533697632058288 common guesses: [('palm tree', 83), ('broccoli', 38), ('hammer', 37)]
bus MAPK@3: 0.34672021419009375 common guesses: [('bus', 131), ('school bus', 127), ('keyboard', 50)]
television MAPK@3: 0.34234234234234234 common guesses: [('television', 76), ('birthday cake', 43), ('toaster', 37)]
saw MAPK@3: 0.3415750915750916 common guesses: [('saw', 75), ('crocodile', 64), ('skateboard', 53)]
snowflake MAPK@3: 0.34095238095238095 common guesses: [('snowflake', 70), ('ceiling fan', 42), ('guitar', 25)]
suitcase MAPK@3: 0.337719298245614 common guesses: [('suitcase', 80), ('pillow', 53), ('postcard', 43)]
beard MAPK@3: 0.3360215053763441 common guesses: [('beard', 106), ('goatee', 47), ('blackberry', 39)]
crocodile MAPK@3: 0.3359375 common guesses: [('crocodile', 95), ('grass', 49), ('canoe', 45)]
tree MAPK@3: 0.33410138248847926 common guesses: [('tree', 94), ('mushroom', 46), ('hot air balloon', 41)]
table MAPK@3: 0.3324652777777778 common guesses: [('table', 78), ('bench', 32), ('pillow', 25)]
nose MAPK@3: 0.33220720720720726 common guesses: [('nose', 144), ('triangle', 79), ('leg', 73)]
ear MAPK@3: 0.328804347826087 common guesses: [('ear', 81), ('light bulb', 35), ('streetlight', 19)]
sheep MAPK@3: 0.3271604938271605 common guesses: [('sheep', 79), ('underwear', 39), ('rhinoceros', 29)]
skateboard MAPK@3: 0.3264248704663213 common guesses: [('skateboard', 81), ('saw', 57), ('crocodile', 54)]
cruise ship MAPK@3: 0.32522522522522523 common guesses: [('cruise ship', 71), ('flying saucer', 35), ('submarine', 26)]
microphone MAPK@3: 0.32136279926335176 common guesses: [('microphone', 74), ('carrot', 30), ('fork', 25)]
baseball MAPK@3: 0.32101806239737274 common guesses: [('baseball', 88), ('cookie', 76), ('donut', 61)]
lighter MAPK@3: 0.31776556776556775 common guesses: [('lighter', 92), ('lipstick', 63), ('wine bottle', 53)]
eyeglasses MAPK@3: 0.31760078662733526 common guesses: [('eyeglasses', 136), ('canoe', 73), ('dumbbell', 49)]
carrot MAPK@3: 0.3123953098827471 common guesses: [('carrot', 93), ('fork', 57), ('asparagus', 48)]
dishwasher MAPK@3: 0.3084967320261438 common guesses: [('dishwasher', 112), ('square', 83), ('washing machine', 44)]
bandage MAPK@3: 0.30405405405405406 common guesses: [('bandage', 82), ('saw', 53), ('crocodile', 35)]
eye MAPK@3: 0.30246913580246915 common guesses: [('eye', 75), ('bandage', 34), ('flying saucer', 18)]
purse MAPK@3: 0.3018018018018018 common guesses: [('purse', 71), ('paint can', 47), ('bucket', 41)]
cannon MAPK@3: 0.29874213836477986 common guesses: [('cannon', 78), ('eraser', 24), ('rifle', 23)]
knee MAPK@3: 0.29800498753117205 common guesses: [('knee', 167), ('leg', 68), ('golf club', 57)]
owl MAPK@3: 0.296078431372549 common guesses: [('owl', 101), ('pineapple', 63), ('strawberry', 35)]
compass MAPK@3: 0.2960069444444444 common guesses: [('compass', 82), ('clock', 70), ('donut', 31)]
smiley face MAPK@3: 0.29322638146167557 common guesses: [('smiley face', 76), ('cookie', 64), ('circle', 30)]
zebra MAPK@3: 0.29185867895545314 common guesses: [('zebra', 89), ('tiger', 82), ('cow', 34)]
lantern MAPK@3: 0.2918518518518518 common guesses: [('lantern', 86), ('penguin', 52), ('cell phone', 49)]
butterfly MAPK@3: 0.2909604519774011 common guesses: [('butterfly', 67), ('camera', 18), ('compass', 14)]
hurricane MAPK@3: 0.29003267973856206 common guesses: [('hurricane', 76), ('camouflage', 58), ('tornado', 52)]
toaster MAPK@3: 0.286231884057971 common guesses: [('toaster', 70), ('suitcase', 42), ('dishwasher', 21)]
car MAPK@3: 0.2846715328467153 common guesses: [('car', 115), ('van', 67), ('police car', 62)]
tiger MAPK@3: 0.28113553113553114 common guesses: [('tiger', 69), ('zebra', 57), ('trombone', 39)]
shoe MAPK@3: 0.2777777777777778 common guesses: [('shoe', 62), ('keyboard', 31), ('crown', 19)]
