Computing Distances
Distances Computed
==============================
('MAPK@3 SCORE:', 0.34546075386072739)
('palm tree', 'MAPK@3:', 0.46539162112932608, 'common guesses:', [('palm tree', 107), ('hammer', 37), ('flower', 32)])
('penguin', 'MAPK@3:', 0.46500437445319331, 'common guesses:', [('penguin', 216), ('owl', 56), ('teddy-bear', 43)])
('police car', 'MAPK@3:', 0.46410256410256412, 'common guesses:', [('police car', 118), ('car', 72), ('ambulance', 40)])
('house', 'MAPK@3:', 0.46387520525451553, 'common guesses:', [('house', 117), ('purse', 48), ('church', 42)])
('light bulb', 'MAPK@3:', 0.46224677716390417, 'common guesses:', [('light bulb', 111), ('hot air balloon', 106), ('ear', 45)])
('teddy-bear', 'MAPK@3:', 0.46220570012391571, 'common guesses:', [('teddy-bear', 152), ('penguin', 67), ('panda', 40)])
('airplane', 'MAPK@3:', 0.46125730994152042, 'common guesses:', [('airplane', 118), ('shark', 31), ('bat', 23)])
('tornado', 'MAPK@3:', 0.46124031007751931, 'common guesses:', [('tornado', 122), ('hurricane', 87), ('broccoli', 30)])
('stop sign', 'MAPK@3:', 0.46018518518518525, 'common guesses:', [('stop sign', 107), ('lollipop', 59), ('flower', 48)])
('washing machine', 'MAPK@3:', 0.4567219152854512, 'common guesses:', [('washing machine', 107), ('The Mona Lisa', 50), ('power outlet', 49)])
('hand', 'MAPK@3:', 0.45624048706240489, 'common guesses:', [('hand', 240), ('strawberry', 66), ('toe', 30)])
('couch', 'MAPK@3:', 0.45555555555555555, 'common guesses:', [('couch', 99), ('hamburger', 24), ('postcard', 21)])
('calculator', 'MAPK@3:', 0.45336787564766839, 'common guesses:', [('calculator', 109), ('paint can', 60), ('The Mona Lisa', 34)])
('octopus', 'MAPK@3:', 0.44592592592592589, 'common guesses:', [('octopus', 114), ('ceiling fan', 30), ('bulldozer', 22)])
('cloud', 'MAPK@3:', 0.44537037037037031, 'common guesses:', [('cloud', 114), ('pond', 48), ('bush', 45)])
('traffic light', 'MAPK@3:', 0.44237588652482263, 'common guesses:', [('traffic light', 106), ('lantern', 37), ('fork', 34)])
('streetlight', 'MAPK@3:', 0.44234234234234232, 'common guesses:', [('streetlight', 98), ('skyscraper', 51), ('finger', 47)])
('hexagon', 'MAPK@3:', 0.44158878504672899, 'common guesses:', [('hexagon', 134), ('octagon', 124), ('circle', 109)])
('sword', 'MAPK@3:', 0.43996415770609326, 'common guesses:', [('sword', 102), ('pencil', 32), ('broom', 27)])
('car', 'MAPK@3:', 0.43917274939172746, 'common guesses:', [('car', 162), ('police car', 106), ('pickup truck', 76)])
('floor lamp', 'MAPK@3:', 0.43733333333333335, 'common guesses:', [('floor lamp', 129), ('wine glass', 48), ('fork', 39)])
('bus', 'MAPK@3:', 0.43708165997322629, 'common guesses:', [('bus', 149), ('school bus', 122), ('firetruck', 54)])
('television', 'MAPK@3:', 0.43693693693693691, 'common guesses:', [('television', 95), ('birthday cake', 62), ('radio', 25)])
('tree', 'MAPK@3:', 0.43471582181259594, 'common guesses:', [('tree', 123), ('mushroom', 65), ('broccoli', 59)])
('windmill', 'MAPK@3:', 0.43186003683241253, 'common guesses:', [('windmill', 102), ('house plant', 36), ('flower', 29)])
('butterfly', 'MAPK@3:', 0.43032015065913376, 'common guesses:', [('butterfly', 89), ('book', 19), ('camera', 14)])
('shovel', 'MAPK@3:', 0.4242424242424242, 'common guesses:', [('shovel', 93), ('broom', 27), ('rake', 27)])
('The Mona Lisa', 'MAPK@3:', 0.42399267399267393, 'common guesses:', [('The Mona Lisa', 102), ('washing machine', 70), ('power outlet', 49)])
('swing set', 'MAPK@3:', 0.42364990689013032, 'common guesses:', [('swing set', 102), ('table', 76), ('rainbow', 62)])
('baseball bat', 'MAPK@3:', 0.4211469534050179, 'common guesses:', [('baseball bat', 94), ('marker', 32), ('knife', 30)])
('cruise ship', 'MAPK@3:', 0.41621621621621624, 'common guesses:', [('cruise ship', 96), ('submarine', 51), ('flying saucer', 29)])
('cannon', 'MAPK@3:', 0.41273584905660377, 'common guesses:', [('cannon', 105), ('rifle', 21), ('camel', 18)])
('eye', 'MAPK@3:', 0.41181657848324521, 'common guesses:', [('eye', 96), ('mouth', 34), ('bandage', 19)])
('angel', 'MAPK@3:', 0.40740740740740744, 'common guesses:', [('angel', 108), ('sink', 24), ('monkey', 18)])
('knee', 'MAPK@3:', 0.40648379052369077, 'common guesses:', [('knee', 210), ('leg', 56), ('lightning', 54)])
